customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,support_tickets,payment_method,is_senior_citizen,churn
CUST-00044,7,15.47,108.84,Month-to-month,No,3,Bank transfer,0,0
CUST-00045,33,48.89,1622.49,Month-to-month,DSL,1,Credit card,0,0
CUST-00046,32,25.85,763.65,Month-to-month,No,3,Mailed check,0,0
CUST-00047,26,18.13,477.69,Month-to-month,No,0,Electronic check,0,1
CUST-00048,45,27.81,1264.55,One year,No,5,Electronic check,0,0
CUST-00049,42,15.0,660.51,One year,No,0,Electronic check,0,0
CUST-00050,16,48.33,786.17,One year,Fiber optic,0,Credit card,0,0
CUST-00051,1,52.19,49.88,Month-to-month,DSL,3,Bank transfer,0,1
CUST-00052,19,77.31,1392.23,Month-to-month,Fiber optic,2,Mailed check,0,1
CUST-00053,1,103.78,103.36,Month-to-month,Fiber optic,0,Electronic check,0,1
CUST-00054,1,30.64,31.52,Month-to-month,DSL,4,Bank transfer,0,0
CUST-00055,33,105.54,3380.26,One year,Fiber optic,0,Mailed check,0,0
CUST-00056,33,15.11,464.18,Two year,No,0,Electronic check,1,0
CUST-00057,57,67.96,3947.17,Two year,DSL,0,Bank transfer,0,0
CUST-00058,28,89.99,2391.59,Month-to-month,DSL,3,Electronic check,0,1
CUST-00059,55,57.89,2992.31,Two year,DSL,4,Electronic check,1,0
CUST-00060,27,61.65,1556.17,Month-to-month,Fiber optic,0,Bank transfer,0,0
CUST-00061,27,39.98,1045.77,Two year,DSL,3,Electronic check,1,0
CUST-00062,51,48.85,2610.69,Two year,DSL,1,Bank transfer,1,0
CUST-00063,13,82.7,1047.8,Month-to-month,Fiber optic,0,Bank transfer,0,1
CUST-00064,55,80.25,4215.62,Two year,Fiber optic,0,Mailed check,0,0
CUST-00065,6,76.28,435.67,Month-to-month,Fiber optic,3,Credit card,0,1
CUST-00066,31,69.05,2104.98,One year,Fiber optic,2,Credit card,0,0
CUST-00067,7,53.98,359.49,Month-to-month,DSL,0,Bank transfer,0,1
CUST-00068,23,95.62,2221.1,Month-to-month,Fiber optic,2,Credit card,0,1
CUST-00069,35,68.87,2437.86,One year,Fiber optic,1,Bank transfer,0,0
CUST-00070,24,54.14,1295.0,Month-to-month,DSL,0,Mailed check,0,0
CUST-00071,28,30.21,856.07,One year,No,2,Mailed check,0,0
CUST-00072,17,31.52,526.32,Month-to-month,No,2,Credit card,0,0
CUST-00073,69,61.97,4254.6,Two year,DSL,1,Credit card,0,0
CUST-00074,47,56.86,2733.34,Two year,DSL,0,Mailed check,0,0
CUST-00075,4,74.94,297.94,Month-to-month,Fiber optic,6,Credit card,0,1
CUST-00076,49,91.13,4151.72,One year,Fiber optic,3,Bank transfer,0,1
CUST-00077,12,99.26,1228.94,Month-to-month,Fiber optic,3,Bank transfer,0,1
CUST-00078,40,60.01,2491.84,One year,Fiber optic,1,Mailed check,0,0
CUST-00079,27,24.8,654.26,Month-to-month,DSL,0,Bank transfer,0,0
CUST-00080,16,103.55,1593.68,Month-to-month,Fiber optic,2,Credit card,0,1
CUST-00081,10,19.4,179.49,Month-to-month,No,2,Electronic check,1,0
CUST-00082,39,48.45,1823.86,Two year,DSL,2,Credit card,0,0
CUST-00083,15,25.34,369.48,One year,No,2,Bank transfer,0,0
CUST-00084,11,55.33,628.73,Month-to-month,DSL,1,Credit card,1,0
CUST-00085,15,72.88,1083.8,Month-to-month,Fiber optic,3,Credit card,0,0
CUST-00086,9,24.51,214.64,Month-to-month,No,2,Mailed check,0,1
CUST-00087,72,83.69,5772.25,Two year,DSL,1,Electronic check,0,0
CUST-00088,3,103.91,322.43,Month-to-month,Fiber optic,0,Mailed check,0,0
CUST-00089,17,71.2,1113.97,Month-to-month,Fiber optic,1,Credit card,0,0
CUST-00090,9,19.3,172.08,One year,No,4,Credit card,0,0
CUST-00091,17,80.79,1271.35,Month-to-month,DSL,1,Mailed check,0,0
CUST-00092,1,105.69,105.34,Month-to-month,Fiber optic,2,Mailed check,0,0
CUST-00093,72,113.66,8560.73,Two year,Fiber optic,5,Credit card,0,0
CUST-00094,47,106.38,4846.87,One year,Fiber optic,0,Electronic check,1,0
CUST-00095,38,112.21,4082.16,One year,Fiber optic,2,Electronic check,0,0
CUST-00096,42,71.59,2784.21,One year,Fiber optic,0,Electronic check,0,0
CUST-00097,1,99.3,93.68,Month-to-month,Fiber optic,3,Mailed check,0,1
CUST-00098,53,72.07,3845.26,One year,Fiber optic,0,Mailed check,0,0
CUST-00099,48,40.0,1841.07,Month-to-month,DSL,4,Mailed check,0,0
CUST-00100,10,19.46,186.52,Month-to-month,No,3,Credit card,0,0
CUST-00101,1,20.1,20.44,Month-to-month,No,4,Credit card,0,0
CUST-00102,60,42.2,2533.81,Two year,DSL,4,Mailed check,0,0
CUST-00103,52,70.2,3504.97,One year,Fiber optic,0,Mailed check,0,0
CUST-00104,20,67.6,1414.59,Month-to-month,DSL,3,Credit card,0,0
CUST-00105,72,17.81,1228.93,Two year,No,4,Bank transfer,1,0
CUST-00106,1,76.88,80.4,Month-to-month,Fiber optic,0,Mailed check,1,0
CUST-00107,23,97.1,2272.1,Month-to-month,Fiber optic,1,Electronic check,0,1
CUST-00108,26,102.26,2762.41,Month-to-month,Fiber optic,0,Credit card,0,1
CUST-00109,17,26.63,418.68,Month-to-month,No,2,Bank transfer,0,0
CUST-00110,14,83.13,1134.13,Month-to-month,Fiber optic,0,Bank transfer,0,0
CUST-00111,1,56.71,54.24,Month-to-month,Fiber optic,1,Electronic check,0,1
CUST-00112,7,101.8,692.47,Month-to-month,Fiber optic,1,Bank transfer,0,1
CUST-00113,19,36.11,717.82,Month-to-month,No,3,Credit card,0,0
CUST-00114,39,59.22,2357.31,One year,DSL,0,Mailed check,0,0
CUST-00115,11,48.29,496.29,One year,DSL,2,Mailed check,1,0
CUST-00116,30,113.03,3351.54,One year,Fiber optic,3,Electronic check,0,0
CUST-00117,17,109.48,1888.22,Month-to-month,Fiber optic,4,Electronic check,0,1
CUST-00118,24,48.59,1180.87,One year,DSL,2,Credit card,1,0
CUST-00119,51,75.98,3841.21,Two year,DSL,0,Mailed check,0,0
CUST-00120,49,104.75,5307.79,Month-to-month,Fiber optic,3,Electronic check,0,0
CUST-00121,61,68.95,4268.41,Two year,Fiber optic,1,Mailed check,0,0
CUST-00122,66,88.91,5472.28,Two year,Fiber optic,1,Credit card,0,0
CUST-00123,30,104.46,3266.51,Two year,Fiber optic,0,Bank transfer,0,1
CUST-00124,27,60.09,1539.93,Month-to-month,DSL,4,Electronic check,0,1
CUST-00125,64,52.46,3514.2,Two year,Fiber optic,3,Bank transfer,0,0
CUST-00126,1,23.02,23.94,Month-to-month,No,5,Bank transfer,0,1
CUST-00127,13,15.0,181.73,Month-to-month,DSL,0,Credit card,0,0
CUST-00128,12,49.24,547.65,Month-to-month,DSL,1,Bank transfer,0,1
CUST-00129,19,96.31,1782.03,One year,Fiber optic,2,Bank transfer,0,0
CUST-00130,29,80.44,2444.68,Month-to-month,Fiber optic,3,Credit card,0,1
CUST-00131,13,28.92,370.19,Month-to-month,No,1,Mailed check,0,0
CUST-00132,17,88.42,1386.55,Month-to-month,Fiber optic,1,Bank transfer,0,0
CUST-00133,48,89.4,3959.54,Two year,Fiber optic,0,Credit card,0,0
CUST-00134,72,31.73,2220.73,Two year,No,3,Electronic check,0,0
CUST-00135,63,103.73,6109.06,Two year,Fiber optic,0,Mailed check,0,0
CUST-00136,34,28.21,957.52,One year,No,3,Mailed check,0,0
CUST-00137,19,47.3,906.38,One year,DSL,4,Credit card,0,0
CUST-00138,3,32.86,94.57,Month-to-month,No,2,Bank transfer,0,1
CUST-00139,26,89.04,2216.23,Month-to-month,Fiber optic,0,Bank transfer,0,1
CUST-00140,6,94.6,545.92,One year,Fiber optic,0,Electronic check,0,0
CUST-00141,32,18.63,555.0,Month-to-month,DSL,1,Electronic check,0,0
CUST-00142,51,100.5,5231.5,Two year,Fiber optic,1,Mailed check,0,0
CUST-00143,29,100.17,2779.84,Month-to-month,Fiber optic,1,Bank transfer,0,0
CUST-00144,34,46.9,1604.29,Two year,DSL,4,Mailed check,1,0
CUST-00145,32,61.91,2003.64,One year,DSL,8,Credit card,0,0
CUST-00146,1,69.01,66.55,Month-to-month,Fiber optic,6,Bank transfer,0,0
CUST-00147,18,21.94,402.9,Month-to-month,No,4,Mailed check,0,1
CUST-00148,1,91.43,92.35,Month-to-month,Fiber optic,3,Mailed check,0,1
CUST-00149,50,73.14,3575.62,Two year,Fiber optic,1,Electronic check,0,0
CUST-00150,34,62.78,2122.04,Month-to-month,DSL,4,Credit card,1,0
CUST-00151,46,55.46,2392.97,One year,Fiber optic,1,Credit card,1,0
CUST-00152,56,55.99,3253.61,One year,DSL,0,Electronic check,0,0
CUST-00153,35,15.0,511.32,Month-to-month,No,0,Mailed check,0,0
CUST-00154,22,66.55,1497.6,Month-to-month,DSL,0,Bank transfer,1,1
CUST-00155,1,27.13,28.15,Month-to-month,No,3,Mailed check,0,1
CUST-00156,56,81.39,4221.51,Two year,Fiber optic,3,Credit card,0,0
CUST-00157,18,85.02,1533.66,One year,Fiber optic,0,Electronic check,0,1
CUST-00158,6,74.23,430.63,Month-to-month,Fiber optic,0,Credit card,0,0
CUST-00159,1,89.77,94.04,Month-to-month,Fiber optic,1,Electronic check,0,1
CUST-00160,17,83.5,1314.12,Month-to-month,Fiber optic,0,Electronic check,0,1
CUST-00161,46,56.28,2427.15,Two year,DSL,0,Credit card,1,0
CUST-00162,1,78.31,80.35,Month-to-month,Fiber optic,3,Electronic check,0,1
CUST-00163,19,49.6,907.67,Month-to-month,Fiber optic,3,Bank transfer,0,0
CUST-00164,45,29.75,1295.58,One year,No,4,Credit card,0,0
CUST-00165,1,38.26,37.91,Month-to-month,DSL,1,Credit card,0,0
CUST-00166,19,66.61,1283.92,Month-to-month,Fiber optic,2,Credit card,0,0
CUST-00167,27,71.99,1990.66,One year,Fiber optic,0,Electronic check,0,1
CUST-00168,6,87.28,506.44,One year,Fiber optic,4,Electronic check,0,0
CUST-00169,1,73.33,72.93,Month-to-month,DSL,0,Credit card,1,0
CUST-00170,12,40.39,462.4,Month-to-month,DSL,3,Mailed check,0,1
CUST-00171,23,24.95,538.07,Month-to-month,No,3,Bank transfer,0,0
CUST-00172,58,22.46,1247.64,Two year,No,0,Bank transfer,0,0
CUST-00173,8,84.5,639.58,Month-to-month,Fiber optic,4,Mailed check,0,1
CUST-00174,54,98.27,5571.63,One year,Fiber optic,2,Mailed check,0,0
CUST-00175,13,91.45,1165.74,Month-to-month,Fiber optic,0,Electronic check,0,0
CUST-00176,35,90.15,2953.76,One year,Fiber optic,1,Mailed check,0,0
CUST-00177,38,43.45,1700.59,Month-to-month,DSL,1,Mailed check,0,0
CUST-00178,32,72.49,2180.6,Month-to-month,DSL,6,Electronic check,0,0
CUST-00179,40,85.97,3450.45,One year,Fiber optic,0,Electronic check,0,0
CUST-00180,6,60.25,346.78,Month-to-month,Fiber optic,1,Credit card,1,1
CUST-00181,69,92.12,6247.92,Two year,Fiber optic,2,Credit card,0,0
CUST-00182,54,96.79,5190.15,One year,Fiber optic,3,Bank transfer,1,0
CUST-00183,42,66.31,2875.09,Month-to-month,DSL,0,Mailed check,0,0
CUST-00184,72,39.33,2777.07,Two year,No,7,Bank transfer,0,0
CUST-00185,23,52.83,1173.63,Month-to-month,DSL,4,Credit card,0,0
CUST-00186,41,51.21,2130.21,One year,Fiber optic,3,Electronic check,1,0
CUST-00187,12,102.27,1200.91,Month-to-month,Fiber optic,0,Mailed check,0,1
CUST-00188,27,58.8,1654.38,One year,DSL,0,Electronic check,0,0
CUST-00189,22,97.29,2100.97,Month-to-month,Fiber optic,0,Electronic check,0,1
CUST-00190,19,59.25,1122.58,Month-to-month,Fiber optic,0,Mailed check,0,0
CUST-00191,25,86.68,2024.52,Month-to-month,Fiber optic,0,Bank transfer,0,0
CUST-00192,61,58.08,3525.88,Two year,Fiber optic,0,Credit card,0,0
CUST-00193,13,80.87,1096.8,Month-to-month,Fiber optic,2,Credit card,0,1
CUST-00194,16,69.46,1145.02,Month-to-month,Fiber optic,0,Credit card,0,0
CUST-00195,22,87.37,2007.42,One year,Fiber optic,0,Bank transfer,1,0
CUST-00196,40,27.14,1077.51,One year,No,3,Bank transfer,0,0
CUST-00197,49,38.83,1869.13,Two year,DSL,0,Bank transfer,0,0
CUST-00198,4,71.94,293.66,Month-to-month,Fiber optic,3,Credit card,1,1
CUST-00199,6,27.18,160.19,Month-to-month,No,2,Electronic check,0,0
CUST-00200,52,46.09,2403.71,One year,DSL,0,Mailed check,0,0
CUST-00201,35,120.36,4411.13,Month-to-month,Fiber optic,3,Electronic check,0,0
CUST-00202,29,61.08,1650.21,Month-to-month,Fiber optic,0,Bank transfer,0,0
CUST-00203,26,118.18,2897.08,Month-to-month,Fiber optic,7,Electronic check,1,1
CUST-00204,1,35.35,33.02,Month-to-month,No,2,Bank transfer,1,0
CUST-00205,24,32.08,735.63,Month-to-month,No,2,Credit card,1,0
CUST-00206,24,90.91,2222.09,One year,Fiber optic,0,Electronic check,0,1
CUST-00207,72,31.17,2118.61,Two year,No,3,Credit card,0,0
CUST-00208,23,47.3,1002.49,Month-to-month,DSL,5,Bank transfer,1,0
CUST-00209,47,74.26,3629.84,One year,DSL,4,Electronic check,0,0
CUST-00210,20,25.83,485.56,One year,No,3,Bank transfer,0,0
CUST-00211,44,53.14,2382.68,One year,Fiber optic,0,Credit card,0,0
CUST-00212,1,79.09,78.39,Month-to-month,Fiber optic,1,Bank transfer,0,1
CUST-00213,16,63.1,1022.93,One year,DSL,0,Bank transfer,1,0
CUST-00214,16,70.62,1158.05,Month-to-month,DSL,2,Credit card,0,0
CUST-00215,25,27.06,627.99,Month-to-month,No,6,Mailed check,0,1
CUST-00216,53,69.17,3720.29,Two year,DSL,4,Credit card,0,0
CUST-00217,24,20.71,501.39,Month-to-month,No,0,Credit card,1,0
CUST-00218,2,53.52,98.53,Month-to-month,DSL,0,Credit card,0,1
CUST-00219,19,72.84,1335.52,Month-to-month,Fiber optic,1,Credit card,0,0
CUST-00220,42,40.45,1616.14,Month-to-month,No,0,Credit card,0,1
CUST-00221,50,90.31,4471.11,One year,Fiber optic,2,Electronic check,0,0
CUST-00222,30,58.91,1680.34,Two year,DSL,0,Bank transfer,0,0
CUST-00223,72,101.39,7550.93,Two year,Fiber optic,4,Credit card,0,0
CUST-00224,6,21.53,121.35,Month-to-month,No,3,Credit card,0,0
CUST-00225,29,53.56,1613.69,One year,Fiber optic,0,Mailed check,0,0
CUST-00226,2,69.41,134.41,Month-to-month,DSL,3,Mailed check,0,1
CUST-00227,32,36.62,1106.76,Two year,DSL,2,Credit card,0,0
CUST-00228,1,29.64,28.0,Month-to-month,No,1,Bank transfer,0,0
CUST-00229,31,67.66,1994.92,One year,Fiber optic,1,Mailed check,0,0
CUST-00230,46,48.17,2321.23,One year,DSL,2,Bank transfer,0,0
CUST-00231,72,29.53,2160.95,Two year,No,4,Bank transfer,0,0
CUST-00232,37,34.32,1250.68,One year,DSL,4,Mailed check,0,0
CUST-00233,25,41.46,976.25,One year,DSL,2,Credit card,1,0
CUST-00234,7,26.67,191.61,Month-to-month,No,1,Electronic check,0,1
CUST-00235,19,63.57,1182.81,Month-to-month,DSL,4,Mailed check,0,0
CUST-00236,62,82.37,5049.87,Two year,Fiber optic,1,Electronic check,0,0
CUST-00237,60,51.17,2863.03,Two year,DSL,2,Credit card,0,0
CUST-00238,62,71.09,4194.33,Two year,DSL,1,Credit card,0,0
CUST-00239,27,15.0,377.52,Month-to-month,No,0,Electronic check,0,1
CUST-00240,25,46.75,1223.74,Month-to-month,DSL,0,Credit card,1,0
CUST-00241,72,15.0,1060.36,Two year,No,2,Mailed check,0,0
CUST-00242,56,86.89,4607.61,Two year,Fiber optic,1,Electronic check,0,0
CUST-00243,38,20.95,820.32,Two year,No,0,Electronic check,0,0
CUST-00244,20,90.9,1775.86,One year,Fiber optic,1,Electronic check,0,0
CUST-00245,7,107.64,769.95,Month-to-month,Fiber optic,0,Credit card,1,1
CUST-00246,17,35.28,607.38,Month-to-month,DSL,0,Credit card,0,1
CUST-00247,12,92.81,1025.37,Month-to-month,Fiber optic,1,Mailed check,0,1
CUST-00248,25,48.02,1118.45,Month-to-month,DSL,1,Credit card,0,0
CUST-00249,15,101.13,1538.54,One year,Fiber optic,0,Credit card,0,1
CUST-00250,1,78.37,72.74,Month-to-month,Fiber optic,4,Mailed check,0,1
CUST-00251,33,75.13,2440.75,Month-to-month,Fiber optic,0,Electronic check,0,1
CUST-00252,6,77.21,475.31,Month-to-month,Fiber optic,3,Credit card,0,0
CUST-00253,49,38.87,1796.24,Two year,DSL,0,Bank transfer,0,0
CUST-00254,43,22.34,929.35,One year,No,5,Mailed check,0,0
CUST-00255,1,18.87,18.49,Month-to-month,No,1,Mailed check,0,0
CUST-00256,21,29.36,587.49,One year,No,3,Credit card,0,0
CUST-00257,2,87.37,172.27,Month-to-month,Fiber optic,4,Credit card,1,1
CUST-00258,25,85.3,2008.01,One year,Fiber optic,4,Electronic check,0,0
CUST-00259,23,112.98,2426.45,One year,Fiber optic,3,Credit card,1,0
CUST-00260,41,61.0,2492.29,One year,Fiber optic,4,Mailed check,0,0
CUST-00261,19,51.96,1014.95,Month-to-month,DSL,1,Electronic check,0,1
CUST-00262,23,59.27,1310.67,One year,Fiber optic,3,Bank transfer,0,0
CUST-00263,51,46.94,2508.63,Two year,DSL,2,Bank transfer,0,0
CUST-00264,44,21.48,950.27,One year,No,1,Mailed check,0,0
CUST-00265,19,33.04,594.33,One year,No,2,Credit card,0,1
CUST-00266,1,26.28,26.47,Month-to-month,No,2,Mailed check,0,0
CUST-00267,43,47.79,2116.45,Two year,DSL,0,Credit card,0,0
CUST-00268,1,79.86,74.69,Month-to-month,Fiber optic,3,Electronic check,0,1
CUST-00269,2,94.66,187.4,Month-to-month,Fiber optic,6,Mailed check,0,1
CUST-00270,1,50.25,48.58,Month-to-month,DSL,2,Mailed check,0,1
CUST-00271,1,25.65,25.08,Month-to-month,No,3,Credit card,0,0
CUST-00272,28,63.15,1797.42,Month-to-month,DSL,3,Mailed check,0,0
CUST-00273,1,42.7,42.29,Month-to-month,DSL,2,Electronic check,0,1
CUST-00274,1,104.67,101.04,Month-to-month,Fiber optic,1,Mailed check,0,0
CUST-00275,13,15.0,201.23,Month-to-month,No,0,Mailed check,0,0
CUST-00276,26,15.0,367.34,One year,No,1,Electronic check,0,0
CUST-00277,15,66.46,924.83,Month-to-month,Fiber optic,1,Electronic check,0,0
CUST-00278,32,56.62,1782.18,Month-to-month,DSL,0,Bank transfer,0,0
CUST-00279,20,55.39,1077.19,Month-to-month,Fiber optic,1,Credit card,0,0
CUST-00280,1,89.56,93.71,Month-to-month,Fiber optic,1,Electronic check,1,1
CUST-00281,27,27.36,705.41,One year,No,2,Credit card,0,0
CUST-00282,24,85.42,2052.96,One year,Fiber optic,1,Bank transfer,1,0
CUST-00283,45,25.09,1068.42,Month-to-month,No,1,Mailed check,0,0
CUST-00284,9,22.88,207.24,Month-to-month,No,2,Bank transfer,0,0
CUST-00285,19,89.36,1609.12,Month-to-month,Fiber optic,4,Mailed check,0,1
CUST-00286,22,70.67,1457.08,Month-to-month,DSL,1,Bank transfer,0,1
CUST-00287,8,96.22,746.48,Month-to-month,Fiber optic,3,Electronic check,0,1
CUST-00288,9,62.17,530.27,One year,DSL,3,Electronic check,0,0
CUST-00289,60,89.29,5452.86,Two year,Fiber optic,0,Credit card,1,0
CUST-00290,8,55.23,447.92,Month-to-month,DSL,4,Bank transfer,0,1
CUST-00291,47,48.96,2234.22,Two year,DSL,0,Bank transfer,0,0
CUST-00292,1,66.67,69.81,Month-to-month,Fiber optic,0,Mailed check,0,0
CUST-00293,45,31.78,1493.14,Two year,DSL,2,Credit card,0,0
CUST-00294,12,45.12,548.28,Month-to-month,DSL,2,Electronic check,1,0
CUST-00295,9,105.03,894.62,Month-to-month,Fiber optic,2,Mailed check,0,1
CUST-00296,19,15.0,271.04,One year,No,3,Electronic check,0,0
CUST-00297,53,30.39,1506.83,Two year,DSL,1,Electronic check,0,0
CUST-00298,33,106.92,3369.37,Two year,Fiber optic,4,Bank transfer,0,0
CUST-00299,56,64.25,3579.88,One year,DSL,3,Credit card,0,0
CUST-00300,21,90.57,1916.49,Month-to-month,Fiber optic,0,Bank transfer,0,1
CUST-00301,22,57.6,1190.55,One year,DSL,5,Electronic check,0,0
CUST-00302,43,85.44,3532.81,Two year,Fiber optic,6,Credit card,0,0
CUST-00303,49,15.1,772.48,One year,DSL,4,Electronic check,0,0
CUST-00304,61,60.89,3563.89,Two year,DSL,4,Credit card,0,0
CUST-00305,18,56.16,1001.84,Month-to-month,Fiber optic,2,Credit card,1,0
CUST-00306,8,111.34,917.77,Month-to-month,Fiber optic,2,Electronic check,1,1
CUST-00307,46,73.34,3166.19,Month-to-month,Fiber optic,1,Mailed check,0,0
CUST-00308,59,84.69,4925.29,Two year,Fiber optic,0,Bank transfer,0,0
CUST-00309,23,82.05,1800.21,Month-to-month,Fiber optic,0,Electronic check,0,0
CUST-00310,59,62.61,3768.31,One year,DSL,1,Bank transfer,0,0
CUST-00311,1,74.58,70.63,Month-to-month,Fiber optic,1,Bank transfer,0,1
CUST-00312,23,91.33,2126.74,Month-to-month,Fiber optic,1,Electronic check,0,0
CUST-00313,18,54.78,958.99,Month-to-month,DSL,0,Bank transfer,0,1
CUST-00314,20,37.91,719.45,Month-to-month,No,3,Mailed check,0,1
CUST-00315,13,117.9,1414.43,Month-to-month,Fiber optic,5,Electronic check,0,1
CUST-00316,25,27.41,712.75,Month-to-month,No,1,Bank transfer,0,0
CUST-00317,40,96.07,3628.87,One year,Fiber optic,1,Credit card,0,1
CUST-00318,64,67.69,4034.99,One year,DSL,0,Bank transfer,0,0
CUST-00319,21,54.67,1203.89,Month-to-month,Fiber optic,2,Mailed check,0,0
CUST-00320,3,27.99,79.64,Month-to-month,No,3,Bank transfer,0,0
CUST-00321,41,15.0,643.67,One year,DSL,4,Credit card,0,0
CUST-00322,67,34.92,2451.35,Two year,No,1,Electronic check,0,0
CUST-00323,33,17.04,568.33,Two year,No,2,Mailed check,0,0
CUST-00324,53,102.69,5390.74,Two year,Fiber optic,0,Mailed check,0,0
CUST-00325,4,56.86,227.4,Month-to-month,DSL,2,Mailed check,0,1
CUST-00326,43,15.0,658.33,Two year,No,0,Electronic check,0,0
CUST-00327,45,15.95,691.73,Two year,No,0,Bank transfer,0,0
CUST-00328,44,106.73,4743.85,Month-to-month,Fiber optic,6,Credit card,0,0
CUST-00329,34,42.53,1363.74,One year,DSL,5,Mailed check,0,0
CUST-00330,55,71.39,3924.41,Two year,Fiber optic,5,Electronic check,0,0
CUST-00331,17,130.0,2081.43,Month-to-month,Fiber optic,2,Bank transfer,0,1
CUST-00332,32,28.08,867.62,One year,No,4,Credit card,0,0
CUST-00333,64,48.99,3085.51,One year,DSL,0,Credit card,0,0
CUST-00334,25,38.84,930.55,Month-to-month,No,3,Mailed check,0,0
CUST-00335,57,60.02,3566.33,Two year,DSL,3,Mailed check,1,0
CUST-00336,53,104.24,5195.58,Two year,Fiber optic,5,Credit card,1,0
CUST-00337,13,61.44,775.62,Month-to-month,DSL,0,Bank transfer,0,1
CUST-00338,10,64.06,613.65,Month-to-month,DSL,2,Credit card,0,1
CUST-00339,63,47.78,3020.5,Two year,DSL,0,Credit card,0,0
CUST-00340,22,56.76,1158.83,Month-to-month,DSL,3,Credit card,0,0
CUST-00341,15,67.97,968.14,One year,DSL,3,Bank transfer,0,0
CUST-00342,60,86.37,5033.6,Two year,Fiber optic,3,Credit card,0,0
CUST-00343,15,73.92,1161.99,Month-to-month,Fiber optic,5,Mailed check,0,1
CUST-00344,11,26.99,296.11,Month-to-month,No,0,Credit card,0,0
CUST-00345,26,29.27,727.46,One year,No,0,Electronic check,0,0
CUST-00346,43,98.72,4226.91,One year,Fiber optic,4,Credit card,0,0
CUST-00347,31,32.14,1030.34,Month-to-month,DSL,1,Electronic check,0,0
CUST-00348,32,37.1,1098.21,Month-to-month,DSL,0,Credit card,0,0
CUST-00349,16,53.17,873.06,Month-to-month,DSL,1,Credit card,1,0
